model,slice_index,dice
AttentionUNet,24,0.9656652212142944
AttentionUNet,25,0.9391941428184509
AttentionUNet,26,0.8742705583572388
AttentionUNet,27,1.0
AttentionUNet,28,1.0
AttentionUNet,29,1.0
AttentionUNet,30,1.0
AttentionUNet,31,1.0
AttentionUNet,32,1.0
AttentionUNet,33,1.0
AttentionUNet,34,1.0
AttentionUNet,35,1.0
AttentionUNet,36,0.0
AttentionUNet,37,1.0
AttentionUNet,38,1.0
AttentionUNet,39,1.0
AttentionUNet,40,1.0
AttentionUNet,41,1.0
AttentionUNet,42,1.0
AttentionUNet,43,1.0
AttentionUNet,44,0.5526315569877625
AttentionUNet,45,0.7864077687263489
AttentionUNet,46,0.8666666746139526
AttentionUNet,47,0.9146109819412231
AttentionUNet,48,0.8291390538215637
AttentionUNet,49,0.6700000166893005
AttentionUNet,50,0.5858123302459717
AttentionUNet,51,0.8817558288574219
AttentionUNet,52,0.9199389815330505
AttentionUNet,53,0.8533902764320374
AttentionUNet,54,0.9696566462516785
AttentionUNet,55,0.9626938104629517
AttentionUNet,56,0.9682058095932007
AttentionUNet,57,0.9696768522262573
AttentionUNet,58,0.9440330266952515
AttentionUNet,59,0.8929577469825745
AttentionUNet,60,0.9636733531951904
AttentionUNet,61,0.9493381977081299
AttentionUNet,62,0.8607594966888428
AttentionUNet,63,1.0
AttentionUNet,64,0.0
AttentionUNet,65,0.0
AttentionUNet,66,1.0
AttentionUNet,67,1.0
AttentionUNet,68,1.0
AttentionUNet,69,1.0
AttentionUNet,70,1.0
AttentionUNet,71,1.0
AttentionUNet,72,0.772009015083313
AttentionUNet,73,0.7772126197814941
AttentionUNet,74,0.8007838129997253
AttentionUNet,75,0.8341915607452393
AttentionUNet,76,0.7126113176345825
AttentionUNet,77,0.8938367366790771
AttentionUNet,78,0.8942436575889587
AttentionUNet,79,0.6894132494926453
AttentionUNet,80,0.35397082567214966
AttentionUNet,81,0.8916572332382202
AttentionUNet,82,0.9550057053565979
AttentionUNet,83,0.9718235731124878
AttentionUNet,84,0.9622098207473755
